"","mech","impute_name","model","p","Cindex","sd","min","max"
"1","MAR","CC","CoxLasso",0.2,0.596887927973131,0.059658643026979,0.540257048092869,0.684320630802909
"2","MAR","CC","CoxLasso",0.5,0.590997881171905,0.0983003907598544,0.5,0.706515862451234
"3","MAR","CC","CoxLasso",0.7,0.593139196641417,0.0392681001286506,0.52651659671881,0.622548334689472
"4","MAR","CC","CoxPH",0.2,0.672189284059025,0.0165899544120423,0.660447190354845,0.69885763210358
"5","MAR","CC","CoxPH",0.5,0.674304529460983,0.0419329477867537,0.629837021704936,0.742738171156355
"6","MAR","CC","CoxPH",0.7,0.686168385544081,0.0349156536825798,0.640791357226895,0.723589512566619
"7","MAR","CC","SRF",0.2,0.725780881342713,0.00927316273113972,0.711277800373502,0.737006826947631
"8","MAR","CC","SRF",0.5,0.743926680312453,0.0262832661744528,0.721184404894903,0.7859797674763
"9","MAR","CC","SRF",0.7,0.742636324016012,0.0296475407739779,0.690373943740901,0.762555679060604
"10","MAR","MICE","CoxLasso",0.2,0.556729763997553,0.053553153469522,0.5,0.640821502845859
"11","MAR","MICE","CoxLasso",0.5,0.504901359501176,0.0109597730267929,0.5,0.524506797505877
"12","MAR","MICE","CoxLasso",0.7,0.5,0,0.5,0.5
"13","MAR","MICE","CoxPH",0.2,0.628031303990985,0.0191285617668835,0.600832873810977,0.649366211098229
"14","MAR","MICE","CoxPH",0.5,0.584724251614292,0.0123649431153015,0.571876040469174,0.603476681316407
"15","MAR","MICE","CoxPH",0.7,0.55063315354936,0.0126587495682518,0.539400438806763,0.571884955631017
"16","MAR","MICE","SRF",0.2,0.701148679832899,0.00895409303323643,0.690700762805999,0.711809364870765
"17","MAR","MICE","SRF",0.5,0.689838193997452,0.0161591902941239,0.669888160461859,0.708161982028278
"18","MAR","MICE","SRF",0.7,0.663659396969992,0.0056156530348825,0.656077209804418,0.670367302248745
"19","MAR","Mean","CoxLasso",0.2,0.560688146780445,0.0240183779842426,0.530489968894178,0.582957261197903
"20","MAR","Mean","CoxLasso",0.5,0.522231282117716,0.0259701258561831,0.5,0.561457874391623
"21","MAR","Mean","CoxLasso",0.7,0.5,0,0.5,0.5
"22","MAR","Mean","CoxPH",0.2,0.638268244740719,0.016112414317824,0.619312744173342,0.659169080773158
"23","MAR","Mean","CoxPH",0.5,0.608565834138362,0.022096249336008,0.58386679460999,0.642938363162764
"24","MAR","Mean","CoxPH",0.7,0.581146327989547,0.0111626593428993,0.56854950886554,0.597889928698597
"25","MAR","Mean","SRF",0.2,0.714098920285894,0.00429079000087974,0.708003906234756,0.718905996666696
"26","MAR","Mean","SRF",0.5,0.699953080586115,0.01692638453152,0.683407791356678,0.728487081491456
"27","MAR","Mean","SRF",0.7,0.686174201502185,0.0121761394666343,0.667640760941866,0.700973749676927
"28","MAR","mForest","CoxLasso",0.2,0.59624122335567,0.0504317985660529,0.531642175265472,0.648013868767943
"29","MAR","mForest","CoxLasso",0.5,0.520837593254715,0.0218263148949605,0.5,0.551985378064933
"30","MAR","mForest","CoxLasso",0.7,0.504019509901863,0.00898789737679882,0.5,0.520097549509314
"31","MAR","mForest","CoxPH",0.2,0.639063583463938,0.0152096609919656,0.623357301288471,0.656405786464985
"32","MAR","mForest","CoxPH",0.5,0.602126391737012,0.0144636969589721,0.585145818479919,0.619565240161052
"33","MAR","mForest","CoxPH",0.7,0.585019835912065,0.0131687377199669,0.570297983135846,0.599593780529973
"34","MAR","mForest","SRF",0.2,0.714109805386252,0.00860354212110464,0.707287936567111,0.723904203157976
"35","MAR","mForest","SRF",0.5,0.706906470860812,0.0112061159628033,0.69847979017648,0.725002949769693
"36","MAR","mForest","SRF",0.7,0.681789591308773,0.0117141926145201,0.66474064153198,0.696554666489982
"37","MCAR","CC","CoxLasso",0.2,0.654148591424224,0.0674420731646793,0.537113440380612,0.709719390067418
"38","MCAR","CC","CoxLasso",0.5,0.517313452743248,0.0257758353528779,0.496445002091175,0.551491681009753
"39","MCAR","CC","CoxLasso",0.7,0.514324654416927,0.0953056193355138,0.401785714285714,0.666436197254703
"40","MCAR","CC","CoxPH",0.2,0.684771383690715,0.0181609436107667,0.667345440491118,0.713898322852884
"41","MCAR","CC","CoxPH",0.5,0.672307898020411,0.0256504166572342,0.639052425142061,0.701579964365082
"42","MCAR","CC","CoxPH",0.7,0.592833662297665,0.17626924624556,0.336761317430198,0.805455260017235
"43","MCAR","CC","SRF",0.2,0.753627680668739,0.00738858762704288,0.746811044307906,0.765502489107271
"44","MCAR","CC","SRF",0.5,0.713081212103075,0.0388643832680353,0.662676535037853,0.765439885505547
"45","MCAR","CC","SRF",0.7,0.652696554953626,0.112764046758305,0.499311014728472,0.788534939984929
"46","MCAR","MICE","CoxLasso",0.2,0.581589120621739,0.0470670112835586,0.536846657202069,0.650288621042364
"47","MCAR","MICE","CoxLasso",0.5,0.5,0,0.5,0.5
"48","MCAR","MICE","CoxLasso",0.7,0.5,0,0.5,0.5
"49","MCAR","MICE","CoxPH",0.2,0.648132203698816,0.0107798487357604,0.629585746415446,0.655709799325113
"50","MCAR","MICE","CoxPH",0.5,0.560731293747966,0.0169748064613793,0.533553781826386,0.575683218509606
"51","MCAR","MICE","CoxPH",0.7,0.565033286665074,0.0102051572439646,0.547887904242735,0.572796585664787
"52","MCAR","MICE","SRF",0.2,0.719919862704891,0.0117292772622986,0.710199389304009,0.739526453747234
"53","MCAR","MICE","SRF",0.5,0.669938580177817,0.0247044627510755,0.639563808175596,0.693583049097114
