"","CoxPH","CoxLasso","SRF","p","mech","n","impute_name"
"CC26",0.640791357226895,0.52651659671881,0.690373943740901,0.7,"MAR",2,"CC"
"Mean26",0.583608511029924,0.5,0.667640760941866,0.7,"MAR",2,"Mean"
"MICE26",0.542886847601435,0.5,0.662692488813694,0.7,"MAR",2,"MICE"
"mForest26",0.574507414037413,0.5,0.66474064153198,0.7,"MAR",2,"mForest"
"CC27",0.723589512566619,0.622548334689472,0.758504607258649,0.7,"MAR",3,"CC"
"Mean27",0.597889928698597,0.5,0.685117572026344,0.7,"MAR",3,"Mean"
"MICE27",0.539400438806763,0.5,0.661337556269747,0.7,"MAR",3,"MICE"
"mForest27",0.599593780529973,0.5,0.684389652695454,0.7,"MAR",3,"mForest"
"CC28",0.681896273672456,0.59858707409702,0.762555679060604,0.7,"MAR",4,"CC"
"Mean28",0.581809860649153,0.5,0.685575516177298,0.7,"MAR",4,"Mean"
"MICE28",0.571884955631017,0.5,0.667822427713356,0.7,"MAR",4,"MICE"
"mForest28",0.597321280215094,0.520097549509314,0.677544641261467,0.7,"MAR",4,"mForest"
"CC29",0.666553197144175,0.59617167787863,0.751233294449389,0.7,"MAR",5,"CC"
"Mean29",0.573873830704521,0.5,0.691563408688487,0.7,"MAR",5,"Mean"
"MICE29",0.54896068130422,0.5,0.670367302248745,0.7,"MAR",5,"MICE"
"mForest29",0.570297983135846,0.5,0.685718354564981,0.7,"MAR",5,"mForest"
"CC30",0.674022758872243,0.664841845730337,0.72954817418805,0.2,"MNAR",1,"CC"
"Mean30",0.650143504731695,0.588851367713613,0.720816967648387,0.2,"MNAR",1,"Mean"
"MICE30",0.635462025399302,0.572647899983431,0.712812118308774,0.2,"MNAR",1,"MICE"
"mForest30",0.646898443109135,0.649743744052646,0.7204952402263,0.2,"MNAR",1,"mForest"
"CC31",0.674909335089924,0.602482096346157,0.719430050269017,0.2,"MNAR",2,"CC"
"Mean31",0.660285333462411,0.600513900446832,0.726611657052088,0.2,"MNAR",2,"Mean"
"MICE31",0.653999018218847,0.603337107837893,0.718717869822555,0.2,"MNAR",2,"MICE"
"mForest31",0.663279883906842,0.600992727240887,0.727823598139508,0.2,"MNAR",2,"mForest"
"CC32",0.675108120818655,0.669697337354468,0.707446178007739,0.2,"MNAR",3,"CC"
"Mean32",0.643695803081545,0.582424068670421,0.706778483301307,0.2,"MNAR",3,"Mean"
"MICE32",0.627890867774909,0.534577183699991,0.685916706806054,0.2,"MNAR",3,"MICE"
"mForest32",0.63469015750602,0.577216674662548,0.7127303147685,0.2,"MNAR",3,"mForest"
"CC33",0.668068365916249,0.662285561132221,0.748503804158906,0.2,"MNAR",4,"CC"
"Mean33",0.654183518569337,0.653189272991339,0.73394729326256,0.2,"MNAR",4,"Mean"
"MICE33",0.641960687402506,0.638220643279829,0.711807472625547,0.2,"MNAR",4,"MICE"
"mForest33",0.637124797388681,0.58200375407335,0.732310420836555,0.2,"MNAR",4,"mForest"
"CC34",0.691591730895406,0.682096996333358,0.744445520178288,0.2,"MNAR",5,"CC"
"Mean34",0.678166782110148,0.675949921194129,0.739178244258716,0.2,"MNAR",5,"Mean"
"MICE34",0.670503809647443,0.667300783176976,0.724070794435239,0.2,"MNAR",5,"MICE"
"mForest34",0.676824052888794,0.669361420042325,0.743854585240719,0.2,"MNAR",5,"mForest"
"CC35",0.701507335418443,0.683929247706281,0.731867908933871,0.5,"MNAR",1,"CC"
"Mean35",0.664838555543036,0.540164769045635,0.731833287745504,0.5,"MNAR",1,"Mean"
"MICE35",0.60670325685976,0.5,0.694460249984246,0.5,"MNAR",1,"MICE"
"mForest35",0.63769731140267,0.5,0.720797689973654,0.5,"MNAR",1,"mForest"
"CC36",0.664768035743504,0.596219809061176,0.751262030636346,0.5,"MNAR",2,"CC"
"Mean36",0.63461641598702,0.555552353506244,0.731812358169123,0.5,"MNAR",2,"Mean"
"MICE36",0.566811116747642,0.5,0.675969220382311,0.5,"MNAR",2,"MICE"
"mForest36",0.590447374610452,0.5,0.729815688203008,0.5,"MNAR",2,"mForest"
"CC37",0.660781415550587,0.535296909295842,0.692342810892791,0.5,"MNAR",3,"CC"
"Mean37",0.659161856263857,0.528224588430751,0.710357569869837,0.5,"MNAR",3,"Mean"
"MICE37",0.624577206892248,0.5,0.682375843889686,0.5,"MNAR",3,"MICE"
"mForest37",0.609428291829306,0.5,0.707979132705707,0.5,"MNAR",3,"mForest"
"CC38",0.644226924234506,0.590927501739472,0.695612188684411,0.5,"MNAR",4,"CC"
"Mean38",0.644660126908743,0.526188183215909,0.731286226157814,0.5,"MNAR",4,"Mean"
"MICE38",0.595430208999456,0.5,0.671215132181717,0.5,"MNAR",4,"MICE"
"mForest38",0.585237001958763,0.5,0.706330177061614,0.5,"MNAR",4,"mForest"
"CC39",0.680405349402762,0.542903124509342,0.742566888164457,0.5,"MNAR",5,"CC"
"Mean39",0.657559131858501,0.657183288048283,0.737661029862097,0.5,"MNAR",5,"Mean"
"MICE39",0.619878443364845,0.536030618867636,0.682467120546291,0.5,"MNAR",5,"MICE"
"mForest39",0.611578725817038,0.5,0.730259211025169,0.5,"MNAR",5,"mForest"
"CC40",0.712814397214223,0.623413350735033,0.771609884142543,0.7,"MNAR",1,"CC"
"Mean40",0.606374798174006,0.5,0.704341645700635,0.7,"MNAR",1,"Mean"
"MICE40",0.538041940129155,0.5,0.638248925275661,0.7,"MNAR",1,"MICE"
"mForest40",0.527233642374472,0.5,0.676978162873347,0.7,"MNAR",1,"mForest"
"CC41",0.65366721944542,0.516695451928613,0.671204314209678,0.7,"MNAR",2,"CC"
"Mean41",0.620655546464282,0.5,0.720565659887608,0.7,"MNAR",2,"Mean"
"MICE41",0.552164384658124,0.5,0.674208295965405,0.7,"MNAR",2,"MICE"
"mForest41",0.522704752345871,0.5,0.645901060955339,0.7,"MNAR",2,"mForest"
"CC42",0.749380959907276,0.620798629570559,0.769689745566938,0.7,"MNAR",3,"CC"
"Mean42",0.641211272837488,0.574054269755391,0.713274896353175,0.7,"MNAR",3,"Mean"
"MICE42",0.567972163826089,0.5,0.676787879639438,0.7,"MNAR",3,"MICE"
"mForest42",0.534684289015533,0.5,0.652242549319857,0.7,"MNAR",3,"mForest"
"CC43",0.754653873397375,0.705346518283471,0.817817144278515,0.7,"MNAR",4,"CC"
"Mean43",0.637373732348291,0.623915255981442,0.700372098682167,0.7,"MNAR",4,"Mean"
"MICE43",0.558867449080323,0.512065275548422,0.668024605638022,0.7,"MNAR",4,"MICE"
"mForest43",0.540971656142925,0.5,0.651870135860761,0.7,"MNAR",4,"mForest"
"CC44",0.671376788966172,0.5,0.732365682509289,0.7,"MNAR",5,"CC"
"Mean44",0.62494244857342,0.52969791352691,0.727089865976774,0.7,"MNAR",5,"Mean"
"MICE44",0.543863146973301,0.5,0.652202448009081,0.7,"MNAR",5,"MICE"
"mForest44",0.542340321200748,0.5,0.654631185511823,0.7,"MNAR",5,"mForest"
